id,w,square footage,24-Hour,number,activity
00001,1559.8286174,02,2,2,26
00002,143.94634909,07,2,52,23
00003,1851.6697201,02,2,10,15
00004,17.191258213,08,1,165,18
00005,273.99706838,05,2,19,02
00006,1807.4628666,02,2,2,06
00007,2.8602521713,09,1,350,16
00008,777.87987978,02,2,0,01
00009,653.84310688,05,2,25,02
00010,23.251171658,09,2,1500,02
00011,1031.3463294,04,2,25,02
00012,953.18777657,03,2,4,15
00013,1117.7421223,03,2,15,26
00014,810.40542332,03,2,5,26
00015,90.622000825,08,2,300,14
00016,139.16995492,07,2,71,14
00017,2396.7342053,02,2,0,13
00018,1451.6174232,03,2,4,02
00019,124.45202455,06,1,178,04
00020,360.21806967,06,2,124,02
00021,274.454839,06,2,6,13
00022,1791.3103533,02,2,6,02
00023,1023.6082023,05,2,2,13
00024,9.2846065541,07,1,250,16
00025,1130.4747375,04,2,5,05
00026,1559.8286174,03,2,7,08
00027,1667.7551609,02,1,3,25
00028,48.841044419,08,2,1100,02
00029,9.2846065541,08,1,950,16
00030,311.1344891,05,2,22,14
00031,9.8042007776,10,1,1000,16
00032,1807.4628666,02,2,1,25
00033,1879.4560061,03,1,5,23
00034,647.9871845,04,2,19,12
00035,242.08690218,06,2,40,14
00036,48.841044419,06,2,225,02
00037,953.18777657,02,2,7,13
00038,1791.3103533,03,2,5,91
00039,777.87987978,03,2,0,01
00040,15.945623796,07,1,30,18
00041,1779.4119781,02,1,3,07
00042,1069.3275783,04,2,3,25
00043,226.49614223,06,1,65,06
00044,24.435334858,07,2,200,02
00045,227.79159189,04,2,20,05
00046,1879.4560061,02,2,1,12
00047,9.2846065541,07,1,300,16
00048,1031.3463294,04,2,10,25
00049,880.78346233,03,2,25,15
00050,1879.4560061,02,2,15,02
00051,50.31915606,07,2,60,02
00052,75.11828904,07,2,80,05
00053,810.40542332,02,1,4,15
00054,9.2846065541,08,1,360,16
00055,1667.7551609,04,2,9,12
00056,311.1344891,05,2,55,14
00057,1807.4628666,02,2,0,01
00058,647.9871845,05,2,35,05
00059,1155.42801,06,2,4,13
00060,1145.0798138,02,2,3,25
00061,657.71092576,04,2,20,25
00062,1849.1849629,02,2,2,14
00063,21.826150392,06,1,18,05
00064,1868.403437,04,2,7,13
00065,1655.242098,02,2,2,06
00066,1807.4628666,03,2,2,26
00067,1117.7421223,04,2,16,14
00068,63.073938349,05,2,8,12
00069,1117.7421223,04,2,12,02
00070,1828.0523467,03,2,8,13
00071,1849.1849629,02,2,3,14
00072,19.690263031,06,1,120,16
00073,31.847187548,09,2,180,05
00074,13.28083229,08,1,600,16
00075,1484.5150471,02,2,2,05
00076,15.945623796,09,1,3500,02
00077,1461.8570616,02,2,2,01
00078,1197.3864068,02,1,0,05
00079,62.703017691,09,1,350,05
00080,25.322576596,09,2,2374,02
00081,239.38538189,05,2,37,14
00082,86.870506742,08,2,1200,02
00083,74.844960294,06,2,310,02
00084,887.44188343,02,2,4,15
00085,583.35116997,03,2,12,26
00086,1145.0798138,05,2,6,25
00087,440.0460563,03,2,6,02
00088,751.72654486,03,2,0,01
00089,961.78281331,02,2,10,15
00090,4637.8512935,03,2,0,05
